Serial Number,Name,UUID,Hash
155,ajobaru-a-serial-killer,9d262f55-73d7-4b95-9a82-42356dbb085c,6363b23c04a4657413cd60500ad325be8c47706584bc6f9d81993d788819b405
156,effiadem-the-fireman,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,5687f7c5aedce2cb9118514c0a066cda8356305b9c1901c4f738d3e55a04b13f
157,deladem-the-commandoo,88106b92-da30-46ad-a3cc-d528683b9e33,0becb96710b5357c5ae8af662f45c6f9b9e2b4ba2824bc99e9afe745576159e0
158,dogbeda-the-monger,66a09968-cb92-4378-a588-49947f68c537,adfda199c7579f6392dd1fd0d3f085e537ee7705e06c10d9fc80d30783304f88
159,enyonyam-our-slay-mama,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,ffcf4d5e5df69321c0b177c856381fda83b04c7bcf976efc8d5d21cea75c9c90
160,lumusi-pro-technician,b07676a6-c611-410d-8426-46c9c525189a,60d8c326515a95af5debf84a57118b5e0a27d331d3488dd0607090066ccd87b6
,,,
TEAM HEADLIGHT,,,
161,funmi-the-fashionist,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,15a03bc7fd2cd0468b6c7a9a79e64a44516072586d21fc4d314ab1d65a5e1b09
162,bola-the-funky,ac721b71-cbc5-425c-851f-ee826973f0b9,5e3eb304e244a12d14a2a920594fb8fbc8916e457c83a8655a7603b04f3accaf
163,bimpe-the-runzgirl,eaa7662f-6926-468a-9add-e791916ae42b,001c7b0467da2dc116dc1783763b42355366c7fa6762937de1cc8d502d75c4f6
164,sola-the-queen,d5f23ad3-832a-4d3e-814e-e23f466d18a4,a3d361f375b4d0439d396b58a9c5aaccaf937af11c2ec7ec078390f2238f7378
165,temi-afro-girl,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,7e16a17055825ee437ed6c8086b723978b10d8c6aec7f011f47e302636633099
166,jonny-the-bravo,2b345988-b4b0-453b-ad39-efe1321bc8f1,86de7679db7b1698a6f4a5bc19d79a67361ad7443f26cf3ad0f3991d83adaa30
167,tunde-the-bigman,56db423e-8b09-453e-b5fc-61f4da9d7a6f,ed8d8644c4cce9f3093d45f0cadf58b7ec03b5b7c983e0e6221594205c2599a9
